date,stock_price,premium,premium_protection,strike_date,strike_price,strike_margin,volume_traded,hist_volatility,implied_volatility,vega,volatility_margin,last_100_days_moving_average,stock_price_moving_average_ratio,last_30_days_return,last_60_days_return,last_90_days_return,last_30_days_max_price_intraday,stock_price_above_strike_price_last_90_days,cc_next_month_return,next_month_buy_and_hold_return,cc_better_than_buy_and_hold,cc_better_than_buy_and_hold_amount
2019-01-21,92.64,2.44,0.02633851468048359,2019-02-18,92.0,-0.0069084628670120956,39681.0,0.2169781887626403,0.1811965913627768,10.234704106119741,-0.16490872932396994,84.85666666666667,1.0917232981105394,0.12399902936180537,0.09893238434163705,0.12577469923441478,93.0,0.017543859649122806,0.01943005181347147,0.0036701208981002095,True,0.015759930915371263
2019-01-21,92.64,1.68,0.018134715025906734,2019-04-15,98.0,0.057858376511226245,4200.0,0.2169781887626403,0.18102121668417984,17.673333669396957,-0.1657169888066261,84.85666666666667,1.0917232981105394,0.12399902936180537,0.09893238434163705,0.12577469923441478,93.0,0.0,-0.012413644214162257,-0.030548359240069066,True,0.018134715025906807
2019-01-21,92.64,1.23,0.01327720207253886,2019-04-15,100.0,0.07944732297063903,3075.0,0.2169781887626403,0.18568306741938387,17.592879291356645,-0.14423164614712136,84.85666666666667,1.0917232981105394,0.12399902936180537,0.09893238434163705,0.12577469923441478,93.0,0.0,-0.017271157167530162,-0.030548359240069066,True,0.013277202072538904
2019-01-21,92.64,1.68,0.018134715025906734,2019-03-18,96.0,0.03626943005181347,21736.0,0.2169781887626403,0.1856112049843752,14.46463731698611,-0.14456284273152675,84.85666666666667,1.0917232981105394,0.12399902936180537,0.09893238434163705,0.12577469923441478,93.0,0.0,0.054404145077720276,0.040371329879101844,True,0.014032815198618431
2019-01-21,92.64,1.47,0.015867875647668395,2019-03-18,96.5,0.04166666666666666,17538.0,0.2169781887626403,0.18229927260986706,14.458567253617638,-0.15982673811840908,84.85666666666667,1.0917232981105394,0.12399902936180537,0.09893238434163705,0.12577469923441478,93.0,0.0,0.056239205526770225,0.040371329879101844,True,0.01586787564766838
2019-01-21,92.64,1.14,0.012305699481865284,2019-02-18,95.0,0.025474956822107073,11477.3,0.2169781887626403,0.18783505547470739,10.233421844525456,-0.13431365361710879,84.85666666666667,1.0917232981105394,0.12399902936180537,0.09893238434163705,0.12577469923441478,93.0,0.0,0.0159758203799655,0.0036701208981002095,True,0.012305699481865292
2019-01-21,92.64,1.96,0.021157167530224525,2019-02-18,93.0,0.0038860103626942944,42452.0,0.2169781887626403,0.18689302580872563,10.236190225868066,-0.13865524053583944,84.85666666666667,1.0917232981105394,0.12399902936180537,0.09893238434163705,0.12577469923441478,93.0,0.0,0.024827288428324667,0.0036701208981002095,True,0.02115716753022446
2019-01-21,92.64,1.5,0.016191709844559584,2019-05-20,103.0,0.1118307426597582,14700.0,0.2169781887626403,0.20253157688013387,20.66861125719325,-0.06658094053089392,84.85666666666667,1.0917232981105394,0.12399902936180537,0.09893238434163705,0.12577469923441478,93.0,0.0,-0.024935233160621784,-0.04112694300518137,True,0.016191709844559584
2019-01-21,92.64,1.49,0.016083765112262522,2019-02-18,94.0,0.014680483592400685,16628.6,0.2169781887626403,0.18533530552852864,10.235742350785744,-0.14583439660253994,84.85666666666667,1.0917232981105394,0.12399902936180537,0.09893238434163705,0.12577469923441478,93.0,0.0,0.019753886010362674,0.0036701208981002095,True,0.016083765112262463
2019-01-21,92.64,3.0,0.03238341968911917,2019-05-20,97.0,0.04706390328151985,29400.0,0.2169781887626403,0.19056590328310216,21.08034844745617,-0.1217278364713027,84.85666666666667,1.0917232981105394,0.12399902936180537,0.09893238434163705,0.12577469923441478,93.0,0.0,-0.0087435233160622,-0.04112694300518137,True,0.03238341968911917
2019-01-21,92.64,3.05,0.03292314335060449,2019-03-18,93.0,0.0038860103626942944,46170.2,0.2169781887626403,0.19175743936736986,14.474101819690038,-0.11623633480902662,84.85666666666667,1.0917232981105394,0.12399902936180537,0.09893238434163705,0.12577469923441478,93.0,0.0,0.03680915371329875,0.040371329879101844,False,-0.0035621761658030937
2019-01-21,92.64,2.0,0.02158894645941278,2019-05-20,100.0,0.07944732297063903,39200.0,0.2169781887626403,0.18982863341499645,20.935540009514835,-0.1251257349988466,84.85666666666667,1.0917232981105394,0.12399902936180537,0.09893238434163705,0.12577469923441478,93.0,0.0,-0.019537996545768592,-0.04112694300518137,True,0.021588946459412776
2019-01-21,92.64,4.18,0.04512089810017271,2019-03-18,91.0,-0.017702936096718486,292.6,0.2169781887626403,0.1913329455350237,14.45317497125266,-0.11819272422663085,84.85666666666667,1.0917232981105394,0.12399902936180537,0.09893238434163705,0.12577469923441478,93.0,0.07017543859649122,0.0274179620034543,0.040371329879101844,False,-0.012953367875647544
2019-01-21,92.64,3.45,0.03724093264248705,2019-02-18,90.0,-0.028497409326424878,690.0,0.2169781887626403,0.13944412288906238,10.225677689432924,-0.35733575948684426,84.85666666666667,1.0917232981105394,0.12399902936180537,0.09893238434163705,0.12577469923441478,93.0,0.14035087719298245,0.0087435233160622,0.0036701208981002095,True,0.005073402417961991
2019-01-21,92.64,4.56,0.049222797927461134,2019-02-18,89.0,-0.039291882556131266,184441.3,0.2169781887626403,0.18487810276068933,10.218007928449271,-0.14794153359380435,84.85666666666667,1.0917232981105394,0.12399902936180537,0.09893238434163705,0.12577469923441478,93.0,0.14035087719298245,0.009930915371329898,0.0036701208981002095,True,0.006260794473229688
