date,stock_price,premium,premium_protection,strike_date,strike_price,strike_margin,time_to_expire_days,volume_traded
2021-01-19,53.49553500000001,0.49,0.009159642949640561,2021-04-19,59.70553500000001,0.11608445452503652,90,1480.0
2021-01-19,53.49553500000001,0.3,0.005607944663045241,2021-02-22,56.66553500000001,0.05925728193951142,34,1410.0
2021-01-19,53.49553500000001,0.46,0.008598848483336037,2021-02-22,55.66553500000001,0.04056413306269395,34,8220.0
2021-01-19,53.49553500000001,0.81,0.015141450590222153,2021-03-15,55.66553500000001,0.04056413306269395,55,26294.0
2021-01-19,53.49553500000001,0.54,0.010094300393481435,2021-02-22,55.16553500000001,0.03121755862428521,34,4318.0
2021-01-19,53.49553500000001,0.23,0.0042994242416680185,2021-02-22,57.16553500000001,0.06860385637792016,34,877.0
2021-01-19,53.49553500000001,1.7,0.031778353090589705,2021-03-15,53.66553500000001,0.0031778353090590023,55,68614.0
2021-01-19,53.49553500000001,1.13,0.021123258230803743,2021-03-15,54.66553500000001,0.021870984185876473,55,53363.0
2021-01-19,53.49553500000001,0.93,0.01738462845544025,2021-02-22,54.16553500000001,0.012524409747467739,34,30056.0
2021-01-20,53.56553500000001,0.8,0.014934976379868134,2021-02-22,54.16553500000001,0.011201232284901127,33,1847.0
2021-01-20,53.56553500000001,0.13,0.0024269336617285717,2021-02-22,57.66553500000001,0.07654175394682422,33,91.0
2021-01-20,53.56553500000001,1.2,0.0224024645698022,2021-02-22,53.66553500000001,0.0018668720474835432,33,20246.0
2021-01-20,53.56553500000001,0.4,0.007467488189934067,2021-03-15,56.66553500000001,0.05787303347198905,54,310.0
2021-01-20,53.56553500000001,0.18,0.00336036968547033,2021-02-22,57.16553500000001,0.06720739370940663,33,1458.0
2021-01-20,53.56553500000001,1.51,0.028189767917001105,2021-02-22,52.66553500000001,-0.016801848427351624,33,652.0
2021-01-20,53.56553500000001,0.24,0.00448049291396044,2021-02-22,56.66553500000001,0.05787303347198905,33,328.0
2021-01-20,53.56553500000001,1.12,0.02090896693181539,2021-06-18,57.70553500000001,0.0772885027658176,149,557650.0
2021-01-20,53.56553500000001,0.3,0.00560061614245055,2021-02-22,56.16553500000001,0.048538673234571464,33,1248.0
2021-01-20,53.56553500000001,2.11,0.0393910002019022,2021-03-15,52.66553500000001,-0.016801848427351624,54,422.0
2021-01-20,53.56553500000001,0.36,0.00672073937094066,2021-02-22,55.66553500000001,0.03920431299715388,33,1905.0
2021-01-20,53.56553500000001,0.1,0.0018668720474835168,2021-02-22,59.16553500000001,0.10454483465907696,33,10.0
2021-01-20,53.56553500000001,0.76,0.014188227560874728,2021-03-15,55.66553500000001,0.03920431299715388,54,9343.0
2021-01-20,53.56553500000001,0.53,0.00989442185166264,2021-02-22,55.16553500000001,0.029869952759736296,33,2203.0
2021-01-20,53.56553500000001,0.56,0.010454483465907695,2021-02-22,54.66553500000001,0.02053559252231871,33,852.0
2021-01-20,53.56553500000001,1.51,0.028189767917001105,2021-03-15,53.66553500000001,0.0018668720474835432,54,7560.0
2021-01-20,53.56553500000001,1.08,0.020162218112821984,2021-03-15,54.66553500000001,0.02053559252231871,54,1396.0
2021-01-20,53.56553500000001,0.08,0.0014934976379868134,2021-02-22,58.16553500000001,0.08587611418424179,33,34.0
2021-01-21,53.52553500000001,0.55,0.010275469455840094,2021-02-22,55.16553500000001,0.03063958165014138,32,550.0
2021-01-21,53.52553500000001,0.17,0.0031760541954414835,2021-02-22,57.16553500000001,0.06800492512592354,32,611.0
2021-01-21,53.52553500000001,0.77,0.014385657238176131,2021-03-15,55.66553500000001,0.03998091751908692,53,5057.0
2021-01-21,53.52553500000001,0.78,0.014572483955555042,2021-03-15,55.16553500000001,0.03063958165014138,53,468.0
2021-01-21,53.52553500000001,1.46,0.027276700737320976,2021-03-15,53.66553500000001,0.0026155740433047615,53,12041.0
2021-01-21,53.52553500000001,0.22,0.0041101877823360375,2021-02-22,56.66553500000001,0.058663589256978,32,2107.0
2021-01-21,53.52553500000001,0.41,0.007659895412535342,2021-02-22,55.66553500000001,0.03998091751908692,32,980.0
2021-01-21,53.52553500000001,1.62,0.03026592821538355,2021-02-22,52.66553500000001,-0.016067097694586318,32,486.0
2021-01-21,53.52553500000001,0.1,0.001868267173789108,2021-02-22,58.66553500000001,0.09602893273276016,32,20.0
2021-01-21,53.52553500000001,0.69,0.012891043499144843,2021-02-22,54.66553500000001,0.02129824578119584,32,1371.0
2021-01-21,53.52553500000001,1.2,0.022419206085469295,2021-02-22,53.66553500000001,0.0026155740433047615,32,120.0
2021-01-21,53.52553500000001,0.31,0.005791628238746235,2021-02-22,56.16553500000001,0.04932225338803246,32,1172.0
2021-01-21,53.52553500000001,0.56,0.010462296173219005,2021-03-15,56.66553500000001,0.058663589256978,53,112.0
2021-01-21,53.52553500000001,2.06,0.038486303780055624,2021-03-15,52.66553500000001,-0.016067097694586318,53,39002.0
2021-01-21,53.52553500000001,0.6,0.011209603042734648,2021-05-21,57.70553500000001,0.0780935678643847,120,159060.0
2021-01-21,53.52553500000001,0.11,0.0020550938911680187,2021-02-22,57.66553500000001,0.07734626099486908,32,399.0
2021-01-22,53.84553500000001,1.11,0.020614522634049413,2021-03-15,54.66553500000001,0.01522874645037885,52,1020.0
2021-01-22,53.84553500000001,0.56,0.010400119527087992,2021-02-22,55.16553500000001,0.024514567456707412,31,111.0
2021-01-22,53.84553500000001,0.39,0.00724294038493628,2021-02-22,56.16553500000001,0.04308620946936454,31,366.0
2021-01-22,53.84553500000001,0.82,0.015228746450378843,2021-02-22,54.66553500000001,0.01522874645037885,31,2481.0
2021-01-22,53.84553500000001,0.82,0.015228746450378843,2021-02-22,54.16553500000001,0.005942925444050286,31,3716.0
