date,stock_price,last_30_days_hist_volatility,last_60_days_hist_volatility,last_90_days_hist_volatility,last_180_hist_volatility,stock_price_moving_average_ratio,stock_price_exp_moving_average_ratio,last_30_days_average_volume,last_90_days_stochastic,last_30_days_return,last_60_days_return,last_90_days_return,next_month_buy_and_hold_return,last_30_days_rsi
2018-02-16,46.03,0.3420685475496689,0.3372705439809127,0.3372705439809127,0.3372705439809127,1.0872286652337197,1.0870564363813744,836351930.8421053,1.014285714285714,0.06674391657010435,0.10330776605944397,0.10330776605944397,-0.09808331522919835,60.96692111959289
2018-02-19,46.45,0.3424497131809191,0.33201465949453823,0.33201465949453823,0.33201465949453823,1.0940705396082484,1.0928978550590678,894527329.0,1.0739436619718312,0.08909730363423222,0.11337488015340375,0.11337488015340375,-0.07609849300322935,62.5630676084763
2018-02-20,45.51,0.3477235599619801,0.3334357298430059,0.3334357298430059,0.3334357298430059,1.0687881167482514,1.0666303464475038,877788114.5,0.8459016393442615,0.06705744431418521,0.0908437200383509,0.0908437200383509,-0.06954021094264995,59.3977659057795
2018-02-21,44.8,0.3465016347997743,0.3321174211078923,0.3321174211078923,0.3321174211078923,1.0499254314324264,1.0471303795224958,876113887.1578947,0.7295081967213106,0.05041031652989446,0.07382550335570466,0.07382550335570466,-0.06216015624999992,56.077481840193705
2018-02-22,45.67,0.35013950270314115,0.3303338593824447,0.3303338593824447,0.3303338593824447,1.0687452680845206,1.0654499375832227,908036982.5263158,0.8721311475409834,0.11744555908979702,0.09467881112176421,0.09467881112176421,-0.07126724326691487,55.92808551992226
2018-02-23,46.08,0.34719745637520105,0.32587527983423803,0.32587527983423803,0.32587527983423803,1.076226002122023,1.0722545080275965,888808939.3157895,0.9393442622950813,0.10292005744375292,0.10450623202301054,0.10450623202301054,-0.07953070746527775,57.22515602496399
2018-02-26,47.4,0.3519646938401561,0.3281430214813096,0.3281430214813096,0.3281430214813096,1.1047162787686529,1.0999039959465313,887621353.5555556,1.155737704918032,0.13153497254714724,0.1361457334611697,0.1361457334611697,-0.11486867088607595,61.43851508120649
2018-02-27,47.33,0.35212289311758527,0.3238188766781612,0.3238188766781612,0.3238188766781612,1.0999717345560753,1.0941401680372975,891422978.3157895,0.9900709219858156,0.12986392933874427,0.1344678811121764,0.1344678811121764,-0.09940365518698496,59.69215969215969
2018-02-28,45.05,0.38425562161867244,0.34713003003816545,0.34713003003816545,0.34713003003816545,1.0442362356500627,1.037798650401606,882338618.0,0.6666666666666663,0.0754356648364764,0.07981783317353783,0.07981783317353783,-0.036288013318534915,53.2865907099036
2018-03-01,44.45,0.37709864212427835,0.34477006073218225,0.34477006073218225,0.34477006073218225,1.029161199931134,1.0225635312107249,938199761.75,0.5815602836879437,0.07185917530745127,0.06543624161073835,0.06543624161073835,-0.023279527559055192,52.09940017137962
2018-03-02,43.75,0.3763140616429218,0.3431437049738248,0.3431437049738248,0.3431437049738248,1.0122160011105454,1.0056442282386169,968494109.35,0.48226950354609927,0.05548854041013262,0.048657718120805396,0.048657718120805396,-0.007652000000000011,53.17009182334937
2018-03-05,43.7,0.37570872620065654,0.33887655112520854,0.33887655112520854,0.33887655112520854,1.0107580262096434,1.0042943294227267,991442190.7777778,0.4751773049645394,0.08302354399008677,0.04947166186359275,0.04745925215723883,-0.01681407322654476,51.24603534209334
2018-03-06,43.49,0.37605706226570007,0.3350353387399719,0.3350353387399719,0.3350353387399719,1.0056432476477293,0.9993186707925924,976134145.0,0.44539007092198607,0.077819083023544,0.028375502482856536,0.04242569511025895,0.0040290871464703955,51.432469304229194
2018-03-07,43.265225,0.37602993637880705,0.33135973444876393,0.33135973444876393,0.33135973444876393,1.0003143718209289,0.9941770149970861,976814679.4,0.41350709219858167,0.07224845105328376,0.0008148276659727981,0.03703799137104511,-0.002542457597296661,50.867828126214384
2018-03-08,41.875225,0.36676884353120054,0.337154962503752,0.337154962503752,0.337154962503752,0.9681699357421052,0.962426298811836,971771804.9,0.2163439716312056,-0.014004591476336202,-0.03133876937312044,0.0037206375838926536,0.035581898365919275,48.34129209123189
2018-03-09,42.515225,0.3637502582466091,0.3352074650318776,0.3352074650318776,0.3352074650318776,0.983662739774477,0.9783621711083837,959495481.05,0.3071241134751774,0.01930532246463678,-0.01653423548461707,0.019061001917545593,0.019992837859849063,53.702997216942336
2018-03-12,42.875225,0.36338237740781787,0.3319921004824446,0.3319921004824446,0.3319921004824446,0.9923443968691591,0.9873498421556839,970057998.5555556,0.3581879432624113,-0.036728263311615314,-0.00981004618937637,0.027689956855225347,0.05084521422336558,52.52766299211507
2018-03-13,42.545225,0.36301082737695595,0.3289283681114082,0.3289283681114082,0.3289283681114082,0.984866987770439,0.9801533639547547,945393767.3684211,0.3113794326241137,-0.04414232756683882,-0.023071756601607235,0.0197800814956856,0.06299179285101911,52.57619910578881
2018-03-14,43.015225,0.3627791329399818,0.326310285011535,0.326310285011535,0.326310285011535,0.9960609097091155,0.9916126777900628,927415999.3,0.3780460992907802,-0.03358290271849016,-0.010461812744421393,0.03104566155321194,0.055329246795756674,52.598099033584965
2018-03-15,42.815225,0.36316873253969467,0.3231167252617043,0.3231167252617043,0.3231167252617043,0.9915094150801734,0.9872646364322627,919917783.9523809,0.3496773049645387,-0.038076274994383284,-0.015062686910513016,0.026251797698945332,0.04998222010978573,53.137949896838194
