date,stock_price,hist_volatility,stock_price_moving_average_ratio,last_30_days_return,last_60_days_return,last_90_days_return
2018-01-04,35.327000000000005,0.13177269843143552,1.0187003474775438,0.02101156069364173,0.02101156069364173,0.02101156069364173
2018-01-05,35.527,0.10285170232669232,1.0181212028581255,0.026791907514450854,0.026791907514450854,0.026791907514450854
2018-01-08,35.517,0.11073919347707017,1.0132443246250293,0.02650289017341045,0.02650289017341045,0.02650289017341045
2018-01-09,35.187000000000005,0.1479786725824321,1.0011779568423929,0.01696531791907524,0.01696531791907524,0.01696531791907524
2018-01-10,34.817,0.16023265257058428,0.990455870848446,0.006271676300577999,0.006271676300577999,0.006271676300577999
2018-01-11,35.517,0.1849475175017604,1.0117485716146044,0.02650289017341045,0.02650289017341045,0.02650289017341045
2018-01-12,35.517,0.17250777882494353,1.0102649253864013,0.02650289017341045,0.02650289017341045,0.02650289017341045
2018-01-15,35.767,0.16257817717244796,1.016217018240594,0.03372832369942201,0.03372832369942201,0.03372832369942201
2018-01-16,36.007000000000005,0.15401915601329438,1.0213795587930776,0.04066473988439317,0.04066473988439317,0.04066473988439317
2018-01-17,36.907,0.17654413462551963,1.0448782622123847,0.06667630057803453,0.06667630057803453,0.06667630057803453
2018-01-18,36.867,0.17131675781706085,1.0398569034450824,0.06552023121387271,0.06552023121387271,0.06552023121387271
2018-01-19,37.127,0.1642019151350127,1.0439895828376387,0.07303468208092488,0.07303468208092488,0.07303468208092488
2018-01-22,37.637,0.16156951530413557,1.055015507337203,0.0877745664739884,0.0877745664739884,0.0877745664739884
2018-01-23,37.767,0.1560458689097011,1.0547909242232973,0.0915317919075145,0.0915317919075145,0.0915317919075145
2018-01-24,39.817,0.23989062157416313,1.1082500500134818,0.1507803468208092,0.1507803468208092,0.1507803468208092
2018-01-26,41.217000000000006,0.25259080021503433,1.1399582209409398,0.19124277456647412,0.19124277456647412,0.19124277456647412
2018-01-29,40.017,0.2868285642569553,1.0982300088888348,0.15656069364161854,0.15656069364161854,0.15656069364161854
2018-01-30,40.417,0.27883004413995144,1.103502534861531,0.168121387283237,0.168121387283237,0.168121387283237
2018-01-31,40.767,0.2713978053249295,1.1073279977400914,0.17823699421965322,0.17823699421965322,0.17823699421965322
2018-02-01,39.687000000000005,0.2910603735661402,1.0725111957584805,0.14702312138728332,0.14702312138728332,0.14702312138728332
2018-02-02,38.45400000000001,0.3119348348845951,1.0357764209376725,0.10636706274994971,0.1113872832369944,0.1113872832369944
2018-02-05,37.834,0.31263015526058185,1.0174937238444797,0.06523636568403862,0.0934682080924856,0.0934682080924856
2018-02-06,38.73400000000001,0.3123010928659092,1.0409392478626738,0.09057634372272448,0.11947976878612737,0.11947976878612737
2018-02-07,38.154,0.3121151190112021,1.0236759609739974,0.0742461356533491,0.1027167630057804,0.1027167630057804
2018-02-08,37.684000000000005,0.3099940053962932,1.0101459570304647,0.07096370818768294,0.08913294797687871,0.08913294797687871
2018-02-09,37.254000000000005,0.30730061025076233,0.9982443900371865,0.069994542895712,0.07670520231213883,0.07670520231213883
2018-02-14,38.614,0.3175020321434159,1.0347513257490564,0.07959851259540901,0.11601156069364149,0.11601156069364149
2018-02-15,38.77400000000001,0.31178145019023196,1.037795282857789,0.07684616880051108,0.1206358381502892,0.1206358381502892
2018-02-16,38.70400000000001,0.30680923409229943,1.0346182599715399,0.04868995041591057,0.11861271676300596,0.11861271676300596
2018-02-19,38.514,0.30266063303746754,1.0283908411306721,0.023301538379785915,0.11312138728323703,0.11312138728323703
2018-02-20,39.684000000000005,0.30686461917278385,1.0586925910826879,0.05438796928554359,0.1469364161849712,0.1469364161849712
2018-02-21,39.894000000000005,0.3020442848809795,1.0624054307274784,0.059967585089141136,0.1530057803468209,0.1530057803468209
2018-02-22,40.13400000000001,0.29746796593743763,1.0668386673077601,0.06267376280880145,0.15994219653179206,0.15994219653179206
2018-02-23,40.504000000000005,0.2933452191769191,1.0746217970147036,0.01725393676068023,0.1706358381502891,0.1706358381502891
2018-02-26,40.504000000000005,0.2893693839877771,1.0723988988771815,0.012169827823175196,0.1706358381502891,0.1706358381502891
2018-02-27,40.06400000000001,0.28810203847441346,1.0586777526465732,0.0011745008371443174,0.15791907514450884,0.15791907514450884
2018-02-28,38.80400000000001,0.29885569226136266,1.023801770638998,-0.030312117350126042,0.12150289017341062,0.12150289017341062
2018-03-01,39.02400000000001,0.29497327227645753,1.0289782465392223,-0.03446569512828744,0.12786127167630076,0.12786127167630076
2018-03-02,39.27100000000001,0.2912794537940536,1.034741476017045,-0.03669634753599713,0.13500000000000018,0.13500000000000018
2018-03-05,39.531000000000006,0.28774131766323807,1.0407103000571478,0.04485383517471064,0.1190024627055793,0.14251445086705214
2018-03-06,39.601000000000006,0.2842337465856856,1.0415435897403784,0.04670402283660208,0.11467334703183509,0.1445375722543354
2018-03-07,38.90100000000001,0.2854150470720684,1.0221454052607333,0.028202146217687983,0.09527831742545843,0.12430635838150314
2018-03-08,38.39100000000001,0.28463864105501196,1.0082374210861509,-0.0088552692724737,0.08091899653686993,0.10956647398843962
2018-03-09,39.211000000000006,0.2848702191136134,1.0295840690304667,0.02770351732452697,0.10400653208322781,0.13326589595375735
2018-03-12,39.52100000000001,0.28193950245429433,1.037056939369825,0.023488890039882186,0.1127347467409974,0.14222543352601175
2018-03-13,38.95100000000001,0.28175985746306453,1.0212945307348402,0.008727404568291562,0.09668609398316311,0.12575144508670538
2018-03-14,38.74100000000001,0.27933730059445944,1.0153378939511661,0.003288962552442367,0.08314927167500778,0.11968208092485565
