date,stock_price,last_30_days_hist_volatility,last_60_days_hist_volatility,last_90_days_hist_volatility,last_180_hist_volatility,stock_price_moving_average_ratio,stock_price_exp_moving_average_ratio,last_30_days_average_volume,last_90_days_stochastic,last_30_days_return,last_60_days_return,last_90_days_return,next_month_buy_and_hold_return,last_30_days_rsi
2018-05-09,8.029236666666666,0.26241180928990115,0.2578545645271526,0.2578545645271526,0.2578545645271526,0.9360665482622702,0.9402775782330676,191000088.95238096,0.05719495742340077,-0.08062175572519084,-0.0612739672642245,-0.0612739672642245,-0.13367812880510435,42.241191280549614
2018-05-10,8.235903333333333,0.2671537628170879,0.26538611258755473,0.26538611258755473,0.26538611258755473,0.962144512523892,0.9669544755061226,191650900.42857143,0.265788331555804,-0.05982838660578389,-0.037111847233047536,-0.037111847233047536,-0.17241581676326945,45.87031432398859
2018-05-11,7.875903333333333,0.28491454479193407,0.28817071728001403,0.28817071728001403,0.28817071728001403,0.9211779022779384,0.9259696628556205,197797757.14285713,-0.09756786854580136,-0.11006741996233527,-0.07920070148090416,-0.07920070148090416,-0.1345877361792573,39.0142806486502
2018-05-14,7.772569999999999,0.2860015039610373,0.28514895637851057,0.28514895637851057,0.28514895637851057,0.9112684838031866,0.9166018119346792,202556779.9473684,-0.09502527365746159,-0.0812565011820331,-0.09128176149649264,-0.09128176149649264,-0.11236094796615949,34.63269745878026
2018-05-15,7.609236666666666,0.29009172481240725,0.2851986517933512,0.2851986517933512,0.2851986517933512,0.8944533236995921,0.9003538669701809,209947885.5,-0.13716691534001973,-0.1005630417651694,-0.11037763055339052,-0.11037763055339052,-0.11608698375789782,33.740917699686314
2018-05-16,7.702569999999999,0.2939337106440921,0.2840865363554897,0.2840865363554897,0.2840865363554897,0.9081631787974171,0.9149837219684268,216387967.2857143,0.06892663990015445,-0.08953073286052014,-0.09946570537802035,-0.09946570537802035,-0.1423767218820039,35.471197474589836
2018-05-17,7.379236666666666,0.3031940324404947,0.29922910890202464,0.29922910890202464,0.29922910890202464,0.8722660827725434,0.8794597746744097,215497686.2857143,-0.16985493403966756,-0.13760381768601493,-0.13726773187841004,-0.13726773187841004,-0.13099819267665888,33.46377095689161
2018-05-18,7.435903333333333,0.30520083606886617,0.29663346765194076,0.29663346765194076,0.29663346765194076,0.8820093249091928,0.8902772825660683,223359451.04761904,0.035772227704959615,-0.15018247619047623,-0.1306426344505066,-0.1306426344505066,-0.13762058050781548,31.031372292300247
2018-05-21,7.392569999999999,0.300924256348095,0.2926455738748044,0.2926455738748044,0.2926455738748044,0.8796005188471397,0.8887163467946765,230984083.0,0.00841699475410821,-0.13839510489510481,-0.1357088854247857,-0.1357088854247857,-0.10686405404345163,30.45824899660742
2018-05-22,7.792569999999999,0.3461704029254229,0.32255060017728937,0.32255060017728937,0.32255060017728937,0.9300655464506098,0.9406305017484156,229202039.95,0.26092683737734834,-0.09177505827505825,-0.08894349181605622,-0.08894349181605622,-0.1616924839943689,38.65847846336969
2018-05-23,7.375903333333333,0.3741914415218003,0.3446416585632992,0.3446416585632992,0.3446416585632992,0.8818770262005957,0.8922400480282656,233600356.47619048,-0.002104248688526772,-0.14033760683760677,-0.13765744349181608,-0.13765744349181608,-0.096259396024261,34.74801080494171
2018-05-24,7.209236666666666,0.37262133967637423,0.34360307413662206,0.34360307413662206,0.34360307413662206,0.8644405374575433,0.8754171484325425,235249760.95238096,-0.10499150618714963,-0.14608505861761695,-0.1571430241621201,-0.1571430241621201,-0.04207565202233609,32.220102309661186
2018-05-25,7.015903333333332,0.37600474347452223,0.3440368006930107,0.3440368006930107,0.3440368006930107,0.8439824909905735,0.8556550778378221,246408271.66666666,-0.11021817497705369,-0.16103502471927483,-0.1797462977396727,-0.1797462977396727,-0.01567866527997575,29.256605282237476
2018-05-28,6.85257,0.36621769200087256,0.34296196656857825,0.34296196656857825,0.34296196656857825,0.8273360403073813,0.8398967715215149,276225650.31578946,-0.08387122172983479,-0.1883312782719006,-0.22975983514424878,-0.1988421667965705,-0.016052371591972238,29.21511329011105
2018-05-29,6.9192366666666665,0.36548141345646484,0.34080544494741793,0.34080544494741793,0.34080544494741793,0.8386760693766968,0.8526871435837851,272951955.9,0.031584150441625276,-0.18043478861689433,-0.2163944884862211,-0.19104793452844893,-0.007098808105518518,32.573560071450714
2018-05-30,7.265903333333332,0.39226807083028065,0.36008431674885316,0.36008431674885316,0.36008431674885316,0.8838639364326035,0.8998315117097471,276184532.8095238,0.1958217327380769,-0.13937304241086157,-0.1771343903359758,-0.15051792673421674,-0.05768289421228196,36.18252262834981
2018-06-01,7.425903333333332,0.40094671535615845,0.36099253348539206,0.36099253348539206,0.36099253348539206,0.9056136052402319,0.9226891342788995,290041903.6666667,0.2716236937979779,-0.09578812316566765,-0.15901434503586254,-0.1318117692907249,-0.06945754298803593,35.723809667567295
2018-06-04,7.615903333333333,0.4099975902445402,0.36302622106821014,0.36302622106821014,0.36302622106821014,0.9306536955057484,0.9486804573702908,298100034.1052632,0.36163852255661044,-0.04831781123647352,-0.14651811729547995,-0.10959820732657834,-0.0707884947769383,38.76215777877443
2018-06-05,7.382569999999999,0.4172213109182519,0.3650923672813716,0.3650923672813716,0.3650923672813716,0.9034458806307656,0.9211319785165522,303626398.85,0.2510939960109215,-0.07747511112055244,-0.17390115628496827,-0.13687802026500392,-0.047289539189378935,37.8614693940593
