date,stock_price,premium,premium_protection,strike_date,strike_price,strike_margin,volume_traded,hist_volatility,implied_volatility,vega,volatility_margin,last_100_days_moving_average,stock_price_moving_average_ratio,last_30_days_return,last_60_days_return,last_90_days_return,last_30_days_max_price_intraday,stock_price_above_strike_price_last_90_days,cc_next_month_return,next_month_buy_and_hold_return,cc_better_than_buy_and_hold,cc_better_than_buy_and_hold_amount
2019-01-21,18.502,0.08,0.0043238568803372615,2019-02-18,20.502,0.10809642200843153,145.0,0.2936550334162505,0.28558051662189354,2.0362867463646177,-0.027496606138235236,16.65536507936508,1.1108732778798576,0.17757128309572284,0.10591751344889411,0.09739027283511266,18.0,0.0,0.014593016971138233,0.010269160090801064,True,0.004323856880337169
2019-01-21,18.502,1.47,0.07945087017619717,2019-02-18,17.252,-0.0675602637552697,1029.0,0.2936550334162505,0.2901088945536011,2.0388299307780895,-0.012075866098378074,16.65536507936508,1.1108732778798576,0.17757128309572284,0.10591751344889411,0.09739027283511266,18.0,0.12280701754385964,0.011890606420927407,0.010269160090801064,True,0.0016214463301263433
2019-01-21,18.502,1.12,0.06053399632472166,2019-03-18,18.002,-0.027024105502107883,10311.0,0.2936550334162505,0.25840851287182476,2.8862511518172798,-0.12002695862006374,16.65536507936508,1.1108732778798576,0.17757128309572284,0.10591751344889411,0.09739027283511266,18.0,0.08771929824561403,0.023240730731812764,-0.03729326559290894,True,0.06053399632472171
2019-01-21,18.502,0.27,0.014593016971138257,2019-03-18,20.002,0.08107231650632364,2700.0,0.2936550334162505,0.25019183189909433,2.8814704153329425,-0.148007684430009,16.65536507936508,1.1108732778798576,0.17757128309572284,0.10591751344889411,0.09739027283511266,18.0,0.0,-0.022700248621770714,-0.03729326559290894,True,0.01459301697113823
2019-01-21,18.502,0.38,0.02053832018160199,2019-03-18,19.502,0.054048211004215765,1446.0,0.2936550334162505,0.24141214720008997,2.8878187691716763,-0.17790563849149899,16.65536507936508,1.1108732778798576,0.17757128309572284,0.10591751344889411,0.09739027283511266,18.0,0.0,-0.01675494541130701,-0.03729326559290894,True,0.020538320181601934
2019-01-21,18.502,0.8,0.043238568803372616,2019-07-15,20.322,0.0983677440276727,16800.0,0.2936550334162505,0.2497508423074141,5.085385648046815,-0.14950941108713445,16.65536507936508,1.1108732778798576,0.17757128309572284,0.10591751344889411,0.09739027283511266,18.0,0.0,0.05675062155442659,0.013512052751053941,True,0.04323856880337265
2019-01-21,18.502,0.64,0.03459085504269809,2019-02-18,18.502,0.0,92413.0,0.2936550334162505,0.29119030459312534,2.0443171996537,-0.008393279673948095,16.65536507936508,1.1108732778798576,0.17757128309572284,0.10591751344889411,0.09739027283511266,18.0,0.0,0.03459085504269812,0.010269160090801064,True,0.024321694951897056
2019-01-21,18.502,0.74,0.03999567614311966,2019-03-18,18.502,0.0,6438.0,0.2936550334162505,0.2244730177854709,2.8904933662798853,-0.23558940851769894,16.65536507936508,1.1108732778798576,0.17757128309572284,0.10591751344889411,0.09739027283511266,18.0,0.0,0.0027024105502106346,-0.03729326559290894,True,0.03999567614311958
2019-01-21,18.502,0.41,0.022159766511728463,2019-02-18,19.002,0.027024105502107883,37755.0,0.2936550334162505,0.28619227318162027,2.04406914273203,-0.025413357121149338,16.65536507936508,1.1108732778798576,0.17757128309572284,0.10591751344889411,0.09739027283511266,18.0,0.0,0.03242892660252954,0.010269160090801064,True,0.022159766511728473
2019-01-21,18.502,0.25,0.013512052751053941,2019-02-18,19.502,0.054048211004215765,240958.0,0.2936550334162505,0.284880379492778,2.0425850704476964,-0.029880822478648206,16.65536507936508,1.1108732778798576,0.17757128309572284,0.10591751344889411,0.09739027283511266,18.0,0.0,0.023781212841855005,0.010269160090801064,True,0.013512052751053941
2019-01-21,18.502,1.24,0.06701978164522755,2019-02-18,17.502,-0.054048211004215765,90538.0,0.2936550334162505,0.26681419906486664,2.04068279182604,-0.09140260270402878,16.65536507936508,1.1108732778798576,0.17757128309572284,0.10591751344889411,0.09739027283511266,18.0,0.10526315789473684,0.012971570641011699,0.010269160090801064,True,0.0027024105502106346
2019-01-21,18.502,0.54,0.029186033942276514,2019-03-18,19.002,0.027024105502107883,2393.0,0.2936550334162505,0.23527404485340755,2.89091873218244,-0.1988080636100965,16.65536507936508,1.1108732778798576,0.17757128309572284,0.10591751344889411,0.09739027283511266,18.0,0.0,-0.00810723165063248,-0.03729326559290894,True,0.029186033942276465
2019-01-21,18.502,1.65,0.089179548156956,2019-02-18,17.002,-0.08107231650632364,24468.0,0.2936550334162505,0.2614733403678552,2.036568452167673,-0.10959012918664446,16.65536507936508,1.1108732778798576,0.17757128309572284,0.10591751344889411,0.09739027283511266,18.0,0.15789473684210525,0.008107231650632287,0.010269160090801064,False,-0.002161928440168777
2019-01-21,18.502,0.21,0.01135012431088531,2019-04-15,21.322,0.15241595503188846,6459.0,0.2936550334162505,0.26565026146332854,3.4766468222909572,-0.09536622487660784,16.65536507936508,1.1108732778798576,0.17757128309572284,0.10591751344889411,0.09739027283511266,18.0,0.0,-0.019997838071559693,-0.03134796238244505,True,0.011350124310885355
2019-01-21,18.502,2.43,0.13133715274024432,2019-04-15,16.322,-0.11782509998919034,96948.0,0.2936550334162505,0.14859149693316187,3.4362121728922967,-0.49399301893614667,16.65536507936508,1.1108732778798576,0.17757128309572284,0.10591751344889411,0.09739027283511266,18.0,0.631578947368421,0.013512052751053941,-0.03134796238244505,True,0.04486001513349899
