date,stock_price,premium,premium_protection,strike_price,strike_margin,hist_volatility,implied_volatility,volatility_margin,last_100_days_moving_average,stock_price_moving_average_ratio,last_30_days_return,last_30_days_max_price_intraday,cc_next_month_return,next_month_buy_and_hold_return,cc_better_than_buy_and_hold,cc_better_than_buy_and_hold_amount
2019-01-21,43.19300000000003,0.91,0.021068228648160565,44.30300000000003,0.025698608570833205,0.29333643031914186,0.27141384081691,0.9252646884726159,37.85142063492066,1.1411196535157622,0.1258291955011663,42.96,0.04676683721899369,0.06429282522630995,False,-0.017525988007316265
2019-01-21,43.19300000000003,1.5,0.034727849420044886,46.29300000000004,0.0717708888014263,0.29333643031914186,0.2979257194932862,1.0156451388228573,37.85142063492066,1.1411196535157622,0.1258291955011663,42.96,-0.13472090385016053,-0.16944875327020542,True,0.03472784942004489
2019-01-21,43.19300000000003,3.0,0.06945569884008977,43.54300000000004,0.008103164864677338,0.29333643031914186,0.34684859463627177,1.1824259068636997,37.85142063492066,1.1411196535157622,0.1258291955011663,42.96,-0.09999305443011565,-0.16944875327020542,True,0.06945569884008977
2019-01-21,43.19300000000003,1.74,0.04028430532725207,49.013000000000034,0.13474405574977416,0.29333643031914186,0.279052435671709,0.9513050778183526,37.85142063492066,1.1411196535157622,0.1258291955011663,42.96,-0.05432593244275653,-0.09461023777000865,True,0.04028430532725212
2019-01-21,43.19300000000003,0.38,0.008797721853078038,46.30300000000003,0.07200240779755972,0.29333643031914186,0.27657858025099336,0.9428715688333821,37.85142063492066,1.1411196535157622,0.1258291955011663,42.96,0.07309054707938806,0.06429282522630995,True,0.008797721853078103
2019-01-21,43.19300000000003,0.46,0.0106498738221471,45.30300000000003,0.048850508184196464,0.29333643031914186,0.23989870871027633,0.8178278724169147,37.85142063492066,1.1411196535157622,0.1258291955011663,42.96,0.05950038200634358,0.06429282522630995,False,-0.004792443219966372
2019-01-21,43.19300000000003,0.68,0.015743291737087016,45.05300000000003,0.043062533280855644,0.29333643031914186,0.276391864396701,0.9422350442322979,37.85142063492066,1.1411196535157622,0.1258291955011663,42.96,0.05880582501794266,0.06429282522630995,False,-0.0054870002083672945
2019-01-21,43.19300000000003,0.77,0.01782696270228971,44.80300000000003,0.03727455837751483,0.29333643031914186,0.2791273977855601,0.9515606277811361,37.85142063492066,1.1411196535157622,0.1258291955011663,42.96,0.055101521079804615,0.06429282522630995,False,-0.00919130414650534
2019-01-21,43.19300000000003,0.87,0.020142152663626036,44.55300000000003,0.03148658347417402,0.29333643031914186,0.28249495507568123,0.9630408155179859,37.85142063492066,1.1411196535157622,0.1258291955011663,42.96,0.051628736137799995,0.06429282522630995,False,-0.01266408908850996
2019-01-21,43.19300000000003,1.04,0.02407797559789779,44.05300000000003,0.019910633667492388,0.29333643031914186,0.2782480280580438,0.9485628080880294,37.85142063492066,1.1411196535157622,0.1258291955011663,42.96,0.04398860926539016,0.06429282522630995,False,-0.020304215960919796
2019-01-21,43.19300000000003,2.12,0.04908202718033011,43.16300000000003,-0.0006945569884009241,0.29333643031914186,0.2809722038890834,0.9578496730985424,37.85142063492066,1.1411196535157622,0.1258291955011663,42.96,0.04838747019192913,0.0876067881369667,False,-0.03921931794503758
2019-01-21,43.19300000000003,1.43,0.033107216447109455,43.55300000000003,0.00833468386081076,0.29333643031914186,0.3143220075926957,1.0715409853822864,37.85142063492066,1.1411196535157622,0.1258291955011663,42.96,0.041441900307920214,0.06429282522630995,False,-0.02285092491838974
2019-01-21,43.19300000000003,1.25,0.028939874516704073,43.30300000000003,0.0025467089574699453,0.29333643031914186,0.251420143901656,0.8571050777024793,37.85142063492066,1.1411196535157622,0.1258291955011663,42.96,0.03148658347417402,0.06429282522630995,False,-0.03280624175213594
2019-01-21,43.19300000000003,1.54,0.03565392540457942,43.05300000000003,-0.003241265945870869,0.29333643031914186,0.28564395919331537,0.9737759434876285,37.85142063492066,1.1411196535157622,0.1258291955011663,42.96,0.032412659458708526,0.06429282522630995,False,-0.03188016576760143
2019-01-21,43.19300000000003,1.67,0.03866367235431664,42.80300000000003,-0.009029240849211684,0.29333643031914186,0.2847229384249396,0.9706361331088982,37.85142063492066,1.1411196535157622,0.1258291955011663,42.96,0.029634431505105,0.06429282522630995,False,-0.03465839372120495
2019-01-21,43.19300000000003,1.45,0.03357025443937672,44.66300000000003,0.03403329243164396,0.29333643031914186,0.2816635930955712,0.9602066568722101,37.85142063492066,1.1411196535157622,0.1258291955011663,42.96,0.06760354687102076,0.0876067881369667,False,-0.02000324126594595
2019-01-21,43.19300000000003,1.56,0.03611696339684668,44.16300000000003,0.022457342624962334,0.29333643031914186,0.2675977541398665,0.9122554394240346,37.85142063492066,1.1411196535157622,0.1258291955011663,42.96,0.05857430602180907,0.0876067881369667,False,-0.02903248211515764
2019-01-21,43.19300000000003,3.66,0.08473595258490953,40.05300000000003,-0.07269696478596065,0.29333643031914186,0.30636631901017125,1.0444196061050215,37.85142063492066,1.1411196535157622,0.1258291955011663,42.96,0.012038987798948967,0.06429282522630995,False,-0.05225383742736099
2019-01-21,43.19300000000003,4.74,0.10974000416734185,38.73300000000003,-0.10325747227560016,0.29333643031914186,0.2739055814241316,0.9337591690405789,37.85142063492066,1.1411196535157622,0.1258291955011663,42.96,0.006482531891741738,0.06429282522630995,False,-0.05781029333456822
2019-01-21,43.19300000000003,2.36,0.054638483087537285,41.80300000000003,-0.03218114046257494,0.29333643031914186,0.3038250968335751,1.0357564401497008,37.85142063492066,1.1411196535157622,0.1258291955011663,42.96,0.022457342624962334,0.06429282522630995,False,-0.04183548260134762
